LOGIN ATTEMPT || ATTEMPT DATE:2022-02-10 22:32:16 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-10 22:33:39 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-10 22:41:34 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-10 22:53:19 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:03:20 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:10:24 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:12:35 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:18:50 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:21:22 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:31:49 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:39:14 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:41:23 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:43:59 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:46:10 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 00:59:39 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 01:00:49 || USERNAME ENTERED:|| RESULT: FAIL || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 01:00:49 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 01:15:04 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 02:27:01 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 09:36:09 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 09:37:33 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
LOGIN ATTEMPT || ATTEMPT DATE:2022-02-11 09:39:08 || USERNAME ENTERED:test || RESULT: SUCCESS || LANG: EN
